Feature, Handler, Value
ANNOTATIONS_key, ANNOTATIONS_key, 
ANNOTATIONS_value, ANNOTATIONS_value, 
METADATA_deletionGracePeriodSeconds, METADATA_deletionGracePeriodSeconds, 
Spec, Spec, -
DeploymentSpec, DeploymentSpec, -
DEPLOYMENTSPEC_minReadySeconds, DEPLOYMENTSPEC_minReadySeconds, 
DEPLOYMENTSPEC_paused, DEPLOYMENTSPEC_paused, 
DEPLOYMENTSPEC_progressDeadlineSeconds, DEPLOYMENTSPEC_progressDeadlineSeconds, 
DEPLOYMENTSPEC_Replicas, DEPLOYMENTSPEC_Replicas, 
DEPLOYMENTSPEC_revisionHistoryLimit, DEPLOYMENTSPEC_revisionHistoryLimit, 
DEPLOYMENTSPEC_selector, DEPLOYMENTSPEC_selector, -
LABELSELECTOR_matchLabels, LABELSELECTOR_matchLabels, -
MATCHLABELS_key, MATCHLABELS_key,  
MATCHLABELS_value,MATCHLABELS_value, 
LABELSELECTOR_matchExpressions, LABELSELECTOR_matchExpressions, -
MATCHEXPRESSIONS_key, MATCHEXPRESSIONS_key, 
MATCHEXPRESSIONS_operator, MATCHEXPRESSIONS_operator, -
OPERATOR_in, OPERATOR_in, in
OPERATOR_notIn, OPERATOR_notIn, notIn
OPERATOR_exist, OPERATOR_exist, exist
OPERATOR_doesNotExist, OPERATOR_doesNotExist, doesNotExist
OPERATOR_gt, OPERATOR_gt, gt
OPERATOR_lt, OPERATOR_lt, lt
MATCHEXPRESSIONS_values, MATCHEXPRESSIONS_values, -
MATCHEXPRESSIONS_value, MATCHEXPRESSIONS_value, 
DEPLOYMENTSPEC_strategy, DEPLOYMENTSPEC_strategy, 
STRATEGY_type, STRATEGY_type, 
STRATEGY_TYPE_Recreate, STRATEGY_TYPE_Recreate, -
STRATEGY_TYPE_RollingUpdate, STRATEGY_TYPE_RollingUpdate, 
maxUnavailable, maxUnavailable, 
maxSurge, maxSurge, 
DEPLOYMENTSPEC_template, DEPLOYMENTSPEC_template, -
DEPLOYMENTSPEC_TEMPLATE_Metadata, DEPLOYMENTSPEC_TEMPLATE_Metadata, -
DEPLOYMENTSPEC_TEMPLATE_Metadata, DEPLOYMENTSPEC_TEMPLATE_Metadata, -
TEMPLATE_METADATA_name, TEMPLATE_METADATA_name,
TEMPLATE_METADATA_namespace, TEMPLATE_METADATA_namespace, 
TEMPLATE_METADATA_labels, TEMPLATE_METADATA_labels, -
TEMPLATE_METADATA_LABELS_key, TEMPLATE_METADATA_LABELS_key, 
TEMPLATE_METADATA_LABELS_value, TEMPLATE_METADATA_LABELS_value,  
TEMPLATE_METADATA_annotations, TEMPLATE_METADATA_annotations, -
TEMPLATE_METADATA_ANNOTATIONS_key, TEMPLATE_METADATA_ANNOTATIONS_key, 
TEMPLATE_METADATA_ANNOTATIONS_value, TEMPLATE_METADATA_ANNOTATIONS_value, 
TEMPLATE_METADATA_deletionGracePeriodSeconds, METADATA_deletionGracePeriodSeconds,
DEPLOYMENTSPEC_TEMPLATE_Podspec, DEPLOYMENTSPEC_TEMPLATE_Podspec, -
PodSpec, PodSpec, -
PODSPEC_Containers, PODSPEC_Containers, 
CONTAINER_name, CONTAINER_name, 
CONTAINER_image, CONTAINER_image, 
CONTAINER_args, CONTAINER_args, 
CONTAINER_ARGS_value, CONTAINER_ARGS_value, 
CONTAINER_command, CONTAINER_command, 
CONTAINER_COMMAND_value, CONTAINER_COMMAND_value, 
CONTAINER_env, CONTAINER_env, 
CONTAINER_ENV_name, CONTAINER_ENV_name, 
CONTAINER_ENV_value, CONTAINER_ENV_value, 
CONTAINER_ENV_valueFrom, CONTAINER_ENV_valueFrom, -
configMapKeyRef, configMapKeyRef, -
CONFIGMAPKEYREF_name, CONFIGMAPKEYREF_name, 
CONFIGMAPKEYREF_key, CONFIGMAPKEYREF_key, 
CONFIGMAPKEYREF_optional, CONFIGMAPKEYREF_optional, 
fieldRef, fieldRef, -
FIELDREF_apiversion, FIELDREF_apiversion, 
FIELDREF_fieldPath, FIELDREF_fieldPath, 
resourceFieldRef, resourceFieldRef, -
RESOURCEFIELDREF_containerName, RESOURCEFIELDREF_containerName, 
RESOURCEFIELDREF_resource, RESOURCEFIELDREF_resource, 
RESOURCEFIELDREF_divisor, RESOURCEFIELDREF_divisor, 
secretKeyRef, secretKeyRef, -
SECRETKEYREF_key, SECRETKEYREF_key, 
SECRETKEYREF_name, SECRETKEYREF_name,
SECRETKEYREF_optional, SECRETKEYREF_optional,  
CONTAINER_envFrom, CONTAINER_envFrom, -
ENVFROM_configMapRef, ENVFROM_configMapRef, -
CONFIGMAPREF_name, CONFIGMAPREF_name, 
CONFIGMAPREF_optional, CONFIGMAPREF_optional, 
ENVFROM_secretRef, ENVFROM_secretRef, 
SECRETREF_name, SECRETREF_name, 
SECRETREF_optional, SECRETREF_optional, 
CONTAINER_imagePullPolicy, CONTAINER_imagePullPolicy, -
IMAGEPULLPOLICY_always, IMAGEPULLPOLICY_always, Always
IMAGEPULLPOLICY_never, IMAGEPULLPOLICY_never, Never
IMAGEPULLPOLICY_ifNotPresent, IMAGEPULLPOLICY_ifNotPresent, ifNotPresent
CONTAINER_lifecycle, CONTAINER_lifecycle, -
LIFECYCLE_postStart, LIFECYCLE_postStart, -
POSTSTART_exec, POSTSTART_exec, -
POSTSTART_EXEC_command, POSTSTART_EXEC_command, 
POSTSTART_sleep, POSTSTART_sleep, -
POSTSTART_SLEEP_seconds, POSTSTART_SLEEP_seconds, 
